dataset,method,budget_tokens,n,sp_recall,sp_prec,sp_f1,em,f1,context_tokens,num_selected,prompt_tokens,output_tokens,retrieval_latency_s,llm_latency_s,cost_usd_per_question
HotpotQA,Graph 1-hop CE,150,200,0.7834166666666667,0.5043214285714286,0.5882872405372406,0.515,0.6418932178932178,128.415,3.97,226.075,3.655,0.2206683249940397,0.7321311627401156,3.6104249999999996e-05
HotpotQA,Graph 1-hop CE,200,200,0.85275,0.3926289682539682,0.5213156288156289,0.56,0.6857146464646465,178.98,5.495,281.785,3.545,0.22066916897543706,0.7759705902609858,4.439475e-05
HotpotQA,Graph 1-hop CE,300,200,0.9102499999999999,0.2721882423132423,0.41060154959419665,0.595,0.7160515873015874,276.07,8.365,389.095,3.465,0.2207158143853303,0.8107478695886675,6.044325e-05
HotpotQA,Graph 1-hop CE,400,200,0.93025,0.21164800477300477,0.33882091755853366,0.595,0.7045515873015873,365.25,11.04,487.285,3.46,0.22074645731569034,0.7805917406483787,7.516875e-05
HotpotQA,Graph 1-hop CE,600,200,0.9481666666666666,0.16031529975797373,0.26880005098885495,0.6,0.7144126984126984,501.15,15.175,633.62,3.435,0.2207884393807035,0.7504388774777181,9.710399999999998e-05
HotpotQA,Graph 2-hop CE,100,200,0.6543333333333332,0.6531666666666667,0.6252380952380953,0.445,0.5509206349206349,78.555,2.49,171.64,3.47,0.0024080754708847964,0.7252581376722083,2.7828e-05
HotpotQA,Graph 2-hop CE,150,200,0.7900833333333332,0.5067380952380952,0.5917793040293041,0.53,0.6568932178932179,128.47,3.985,226.205,3.55,0.029399751713790466,0.7840731406677515,3.606075000000001e-05
HotpotQA,Graph 2-hop CE,200,200,0.8579166666666665,0.39511111111111114,0.5235792263292264,0.57,0.6970479797979798,180.495,5.535,283.32,3.515,0.029430918160360305,0.7819716995934141,4.4607e-05
HotpotQA,Graph 2-hop CE,300,200,0.91875,0.27478786491286494,0.4142179968724086,0.61,0.7315955988455989,277.18,8.385,390.23,3.49,0.029514427565736696,0.7564981071147485,6.0628500000000004e-05
HotpotQA,Graph 2-hop CE,400,200,0.9420833333333334,0.21019186614039553,0.33791230149092916,0.625,0.7298015873015874,372.13,11.28,494.845,3.425,0.029593513186555356,0.7751972103954177,7.628174999999998e-05
HotpotQA,Graph 2-hop CE,600,200,0.9625,0.14649676562662697,0.249943933267567,0.615,0.7280753968253968,551.21,16.83,685.61,3.475,0.029715658181521575,0.7400346008333145,0.00010492649999999999
HotpotQA,Graph-only,200,200,0.7959166666666667,0.36466305916305913,0.48731549006549,0.495,0.621186507936508,179.295,5.455,283.165,3.45,0.002348962056566961,0.7765547537375823,4.454475e-05
HotpotQA,Ours v2,100,200,0.6939166666666666,0.5021785714285715,0.5636125541125542,0.5,0.6276349206349205,96.47,3.385,195.785,3.655,0.5952000594875426,0.7742620037955931,3.156075e-05
HotpotQA,Ours v2,150,200,0.7917500000000001,0.39681150793650793,0.5164218004218004,0.545,0.6775360750360749,146.26,4.895,250.58,3.51,0.5951333389163483,0.7749860318281572,3.969300000000001e-05
HotpotQA,Ours v2,200,200,0.8427499999999999,0.333590367965368,0.46640273615273614,0.585,0.7127698412698413,195.24,6.305,304.475,3.565,0.5952165024424904,0.7549870383326197,4.781025e-05
HotpotQA,Ours v2,300,200,0.9231666666666666,0.2508643994893995,0.3878178398398987,0.615,0.7299920634920635,292.735,9.115,410.545,3.5,0.5952977189209195,0.7495441479506553,6.368175e-05
HotpotQA,Ours v2,400,200,0.9475,0.1969611654685184,0.3212805548424743,0.625,0.724718253968254,387.47,12.01,513.74,3.515,0.5954143859699252,0.7823595979245147,7.916999999999999e-05
HotpotQA,Ours v2,600,200,0.9683333333333333,0.14182261572046906,0.24328250830061637,0.615,0.72340873015873,562.99,17.46,698.845,3.56,0.5955658905566088,0.7717623897720478,0.00010696275
HotpotQA,Uniform PPR,200,200,0.8398333333333333,0.3325863997113997,0.46496012321012326,0.545,0.6749603174603175,195.065,6.325,304.635,3.47,0.003243040499219205,0.8112488139493508,4.777725e-05
